,0
1934-04-01,-21831230139.700317
1934-05-01,-21771189533.128204
1934-06-01,-21711259110.63669
1934-07-01,-21651438771.030273
1934-08-01,-21591728413.113373
1934-09-01,-21532127935.69043
1934-10-01,-21472637237.56604
1934-11-01,-21413256217.54477
1934-12-01,-21353984774.431274
1935-01-01,-21294822807.02957
1935-02-01,-21235770214.144135
1935-03-01,-21176826894.58014
1935-04-01,-21117992747.141327
1935-05-01,-21059267670.632812
1935-06-01,-21000651563.8584
1935-07-01,-20942144325.62317
1935-08-01,-20883745854.731323
1935-09-01,-20825456049.98764
1935-10-01,-20767274810.195984
1935-11-01,-20709202034.161346
1935-12-01,-20651237620.68814
1936-01-01,-20593381468.580994
1936-02-01,-20535633476.64435
1936-03-01,-20477993543.68222
1936-04-01,-20420461568.49951
1936-05-01,-20363037449.900757
1936-06-01,-20305721086.69049
1936-07-01,-20248512377.67276
1936-08-01,-20191411221.652466
1936-09-01,-20134417517.434113
1936-10-01,-20077531163.82193
1936-11-01,-20020752059.62091
1936-12-01,-19964080103.634583
1937-01-01,-19907515194.668396
1937-02-01,-19851057231.526215
1937-03-01,-19794706113.013184
1937-04-01,-19738461737.933014
1937-05-01,-19682324005.090668
1937-06-01,-19626292813.29071
1937-07-01,-19570368061.33737
1937-08-01,-19514549648.03543
1937-09-01,-19458837472.18875
1937-10-01,-19403231432.60263
1937-11-01,-19347731428.080902
1937-12-01,-19292337357.42874
1938-01-01,-19237049119.449738
1938-02-01,-19181866612.949097
1938-03-01,-19126789736.73114
1938-04-01,-19071818389.600403
1938-05-01,-19016952470.361145
1938-06-01,-18962191877.81784
1938-07-01,-18907536510.77542
1938-08-01,-18852986268.03784
1938-09-01,-18798541048.410156
1938-10-01,-18744200750.696167
1938-11-01,-18689965273.700775
1938-12-01,-18635834516.228455
1939-01-01,-18581808377.083893
1939-02-01,-18527886755.07138
1939-03-01,-18474069548.994812
1939-04-01,-18420356657.65979
1939-05-01,-18366747979.870056
1939-06-01,-18313243414.43045
1939-07-01,-18259842860.14502
1939-08-01,-18206546215.81888
1939-09-01,-18153353380.25586
1939-10-01,-18100264252.261078
1939-11-01,-18047278730.638794
1939-12-01,-17994396714.192993
1940-01-01,-17941618101.728973
1940-02-01,-17888942792.05072
1940-03-01,-17836370683.962982
1940-04-01,-17783901676.269867
1940-05-01,-17731535667.776123
1940-06-01,-17679272557.286438
1940-07-01,-17627112243.60504
1940-08-01,-17575054625.53665
1940-09-01,-17523099601.88513
1940-10-01,-17471247071.455902
1940-11-01,-17419496933.052795
1940-12-01,-17367849085.48062
1941-01-01,-17316303427.543304
1941-02-01,-17264859858.046112
1941-03-01,-17213518275.79297
1941-04-01,-17162278579.588867
1941-05-01,-17111140668.238037
1941-06-01,-17060104440.544647
1941-07-01,-17009169795.313568
1941-08-01,-16958336631.349304
1941-09-01,-16907604847.456299
1941-10-01,-16856974342.438782
1941-11-01,-16806445015.101562
1941-12-01,-16756016764.248932
1942-01-01,-16705689488.685516
1942-02-01,-16655463087.215973
1942-03-01,-16605337458.644363
1942-04-01,-16555312501.775421
1942-05-01,-16505388115.413513
1942-06-01,-16455564198.363297
1942-07-01,-16405840649.429169
1942-08-01,-16356217367.41565
1942-09-01,-16306694251.127167
1942-10-01,-16257271199.368347
1942-11-01,-16207948110.943497
1942-12-01,-16158724884.657318
1943-01-01,-16109601419.313965
1943-02-01,-16060577613.718292
1943-03-01,-16011653366.674744
1943-04-01,-15962828576.98761
1943-05-01,-15914103143.461426
1943-06-01,-15865476964.900925
1943-07-01,-15816949940.110092
1943-08-01,-15768521967.893784
1943-09-01,-15720192947.056564
1943-10-01,-15671962776.402863
1943-11-01,-15623831354.736908
1943-12-01,-15575798580.863602
1944-01-01,-15527864353.587097
1944-02-01,-15480028571.711884
1944-03-01,-15432291134.042953
1944-04-01,-15384651939.383926
1944-05-01,-15337110886.539993
1944-06-01,-15289667874.315598
1944-07-01,-15242322801.51474
1944-08-01,-15195075566.94226
1944-09-01,-15147926069.402954
1944-10-01,-15100874207.700699
1944-11-01,-15053919880.640305
1944-12-01,-15007062987.026367
1945-01-01,-14960303425.663116
1945-02-01,-14913641095.355011
1945-03-01,-14867075894.906937
1945-04-01,-14820607723.12291
1945-05-01,-14774236478.807663
1945-06-01,-14727962060.765854
1945-07-01,-14681784367.801727
1945-08-01,-14635703298.719666
1945-09-01,-14589718752.32457
1945-10-01,-14543830627.420334
1945-11-01,-14498038822.812027
1945-12-01,-14452343237.30397
1946-01-01,-14406743769.700409
1946-02-01,-14361240318.806137
1946-03-01,-14315832783.425507
1946-04-01,-14270521062.36296
1946-05-01,-14225305054.422989
1946-06-01,-14180184658.41043
1946-07-01,-14135159773.129227
1946-08-01,-14090230297.384125
1946-09-01,-14045396129.979767
1946-10-01,-14000657169.720306
1946-11-01,-13956013315.410507
1946-12-01,-13911464465.854813
1947-01-01,-13867010519.85759
1947-02-01,-13822651376.22351
1947-03-01,-13778386933.75705
1947-04-01,-13734217091.262283
1947-05-01,-13690141747.54425
1947-06-01,-13646160801.407349
1947-07-01,-13602274151.655594
1947-08-01,-13558481697.094055
1947-09-01,-13514783336.526855
1947-10-01,-13471178968.758698
1947-11-01,-13427668492.5941
1947-12-01,-13384251806.837357
1948-01-01,-13340928810.293076
1948-02-01,-13297699401.76561
1948-03-01,-13254563480.0596
1948-04-01,-13211520943.979507
1948-05-01,-13168571692.329819
1948-06-01,-13125715623.914993
1948-07-01,-13082952637.53949
1948-08-01,-13040282632.007904
1948-09-01,-12997705506.124771
1948-10-01,-12955221158.69429
1948-11-01,-12912829488.521088
1948-12-01,-12870530394.409973
1949-01-01,-12828323775.164978
1949-02-01,-12786209529.59079
1949-03-01,-12744187556.491898
1949-04-01,-12702257754.672897
1949-05-01,-12660420022.938034
1949-06-01,-12618674260.092072
1949-07-01,-12577020364.939209
1949-08-01,-12535458236.284073
1949-09-01,-12493987772.93135
1949-10-01,-12452608873.685211
1949-11-01,-12411321437.35019
1949-12-01,-12370125362.730927
1950-01-01,-12329020548.631882
1950-02-01,-12288006893.85756
1950-03-01,-12247084297.21251
1950-04-01,-12206252657.5009
1950-05-01,-12165511873.52739
1950-06-01,-12124861844.096817
1950-07-01,-12084302468.013031
1950-08-01,-12043833644.080994
1950-09-01,-12003455271.105118
1950-10-01,-11963167247.889786
1950-11-01,-11922969473.239532
1950-12-01,-11882861845.958908
1951-01-01,-11842844264.852356
1951-02-01,-11802916628.724243
1951-03-01,-11763078836.379395
1951-04-01,-11723330786.621826
1951-05-01,-11683672378.256271
1951-06-01,-11644103510.087463
1951-07-01,-11604624080.919525
1951-08-01,-11565233989.557068
1951-09-01,-11525933134.804749
1951-10-01,-11486721415.46669
1951-11-01,-11447598730.347641
1951-12-01,-11408564978.252136
1952-01-01,-11369620057.984436
1952-02-01,-11330763868.349365
1952-03-01,-11291996308.151001
1952-04-01,-11253317276.194153
1952-05-01,-11214726671.283218
1952-06-01,-11176224392.222702
1952-07-01,-11137810337.817017
1952-08-01,-11099484406.870682
1952-09-01,-11061246498.188263
1952-10-01,-11023096510.574219
1952-11-01,-10985034342.832779
1952-12-01,-10947059893.769043
1953-01-01,-10909173062.186905
1953-02-01,-10871373746.891006
1953-03-01,-10833661846.686157
1953-04-01,-10796037260.376358
1953-05-01,-10758499886.766403
1953-06-01,-10721049624.660828
1953-07-01,-10683686372.863846
1953-08-01,-10646410030.180145
1953-09-01,-10609220495.414352
