date,price_trend_logistic,residual_smoothed,price_final,is_observed
1971-03-01,2500.0113695724317,0.0,2500.0113695724317,False
1971-04-01,2500.011172390206,0.0,2500.011172390206,False
1971-05-01,2500.0109786277217,0.0,2500.0109786277217,False
1971-06-01,2500.0107882256707,0.0,2500.0107882256707,False
1971-07-01,2500.010601125772,0.0,2500.010601125772,False
1971-08-01,2500.010417270755,0.0,2500.010417270755,False
1971-09-01,2500.010236604344,0.0,2500.010236604344,False
1971-10-01,2500.0100590712377,0.0,2500.0100590712377,False
1971-11-01,2500.009884617095,0.0,2500.009884617095,False
1971-12-01,2500.009713188517,0.0,2500.009713188517,False
1972-01-01,2500.00954473303,0.0,2500.00954473303,False
1972-02-01,2500.009379199072,0.0,2500.009379199072,False
1972-03-01,2500.0092165359742,0.0,2500.0092165359742,False
1972-04-01,2500.009056693947,0.0,2500.009056693947,False
1972-05-01,2500.0088996240643,0.0,2500.0088996240643,False
1972-06-01,2500.0087452782473,0.0,2500.0087452782473,False
1972-07-01,2500.0085936092532,0.0,2500.0085936092532,False
1972-08-01,2500.008444570657,0.0,2500.008444570657,False
1972-09-01,2500.00829811684,0.0,2500.00829811684,False
1972-10-01,2500.0081542029734,0.0,2500.0081542029734,False
1972-11-01,2500.008012785006,0.0,2500.008012785006,False
1972-12-01,2500.0078738196526,0.0,2500.0078738196526,False
1973-01-01,2500.007737264376,0.0,2500.007737264376,False
1973-02-01,2500.0076030773785,0.0,2500.0076030773785,False
1973-03-01,2500.0074712175865,0.0,2500.0074712175865,False
1973-04-01,2500.00734164464,0.0,2500.00734164464,False
1973-05-01,2500.0072143188763,0.0,2500.0072143188763,False
1973-06-01,2500.0070892013227,0.0,2500.0070892013227,False
1973-07-01,2500.006966253683,0.0,2500.006966253683,False
1973-08-01,2500.0068454383236,0.0,2500.0068454383236,False
1973-09-01,2500.006726718264,0.0,2500.006726718264,False
1973-10-01,2500.006610057166,0.0,2500.006610057166,False
1973-11-01,2500.0064954193194,0.0,2500.0064954193194,False
1973-12-01,2500.006382769636,0.0,2500.006382769636,False
1974-01-01,2500.006272073635,0.0,2500.006272073635,False
1974-02-01,2500.006163297433,0.0,2500.006163297433,False
1974-03-01,2500.0060564077344,0.0,2500.0060564077344,False
1974-04-01,2500.005951371822,0.0,2500.005951371822,False
1974-05-01,2500.0058481575456,0.0,2500.0058481575456,False
1974-06-01,2500.0057467333127,0.0,2500.0057467333127,False
1974-07-01,2500.0056470680775,0.0,2500.0056470680775,False
1974-08-01,2500.0055491313337,0.0,2500.0055491313337,False
1974-09-01,2500.005452893105,0.0,2500.005452893105,False
1974-10-01,2500.0053583239333,0.0,2500.0053583239333,False
1974-11-01,2500.0052653948724,0.0,2500.0052653948724,False
1974-12-01,2500.005174077477,0.0,2500.005174077477,False
1975-01-01,2500.005084343797,0.0,2500.005084343797,False
1975-02-01,2500.0049961663653,0.0,2500.0049961663653,False
1975-03-01,2500.0049095181917,0.0,2500.0049095181917,False
1975-04-01,2500.0048243727547,0.0,2500.0048243727547,False
1975-05-01,2500.0047407039915,0.0,2500.0047407039915,False
1975-06-01,2500.0046584862926,0.0,2500.0046584862926,False
1975-07-01,2500.004577694493,0.0,2500.004577694493,False
1975-08-01,2500.004498303862,0.0,2500.004498303862,False
1975-09-01,2500.004420290099,0.0,2500.004420290099,False
1975-10-01,2500.0043436293263,0.0,2500.0043436293263,False
1975-11-01,2500.004268298078,0.0,2500.004268298078,False
1975-12-01,2500.004194273296,0.0,2500.004194273296,False
1976-01-01,2500.004121532323,0.0,2500.004121532323,False
1976-02-01,2500.004050052893,0.0,2500.004050052893,False
1976-03-01,2500.0039798131284,0.0,2500.0039798131284,False
1976-04-01,2500.0039107915277,0.0,2500.0039107915277,False
1976-05-01,2500.0038429669653,0.0,2500.0038429669653,False
1976-06-01,2500.003776318682,0.0,2500.003776318682,False
1976-07-01,2500.003710826276,0.0,2500.003710826276,False
1976-08-01,2500.003646469701,0.0,2500.003646469701,False
1976-09-01,2500.0035832292588,0.0,2500.0035832292588,False
1976-10-01,2500.0035210855926,0.0,2500.0035210855926,False
1976-11-01,2500.003460019681,0.0,2500.003460019681,False
1976-12-01,2500.0034000128317,0.0,2500.0034000128317,False
1977-01-01,2500.0033410466785,0.0,2500.0033410466785,False
1977-02-01,2500.0032831031717,0.0,2500.0032831031717,False
1977-03-01,2500.0032261645756,0.0,2500.0032261645756,False
1977-04-01,2500.0031702134625,0.0,2500.0031702134625,False
1977-05-01,2500.003115232706,0.0,2500.003115232706,False
1977-06-01,2500.0030612054775,0.0,2500.0030612054775,False
1977-07-01,2500.003008115241,0.0,2500.003008115241,False
1977-08-01,2500.002955945744,0.0,2500.002955945744,False
1977-09-01,2500.00290468102,0.0,2500.00290468102,False
1977-10-01,2500.002854305377,0.0,2500.002854305377,False
1977-11-01,2500.002804803395,0.0,2500.002804803395,False
1977-12-01,2500.002756159923,0.0,2500.002756159923,False
1978-01-01,2500.0027083600726,0.0,2500.0027083600726,False
1978-02-01,2500.0026613892105,0.0,2500.0026613892105,False
1978-03-01,2500.002615232962,0.0,2500.002615232962,False
1978-04-01,2500.0025698771974,0.0,2500.0025698771974,False
1978-05-01,2500.0025253080353,0.0,2500.0025253080353,False
1978-06-01,2500.002481511833,0.0,2500.002481511833,False
1978-07-01,2500.002438475186,0.0,2500.002438475186,False
1978-08-01,2500.0023961849197,0.0,2500.0023961849197,False
1978-09-01,2500.002354628091,0.0,2500.002354628091,False
1978-10-01,2500.0023137919798,0.0,2500.0023137919798,False
1978-11-01,2500.002273664086,0.0,2500.002273664086,False
1978-12-01,2500.0022342321267,0.0,2500.0022342321267,False
1979-01-01,2500.0021954840336,0.0,2500.0021954840336,False
1979-02-01,2500.0021574079465,0.0,2500.0021574079465,False
1979-03-01,2500.00211999221,0.0,2500.00211999221,False
1979-04-01,2500.0020832253713,0.0,2500.0020832253713,False
1979-05-01,2500.0020470961776,0.0,2500.0020470961776,False
1979-06-01,2500.00201159357,0.0,2500.00201159357,False
1979-07-01,2500.001976706681,0.0,2500.001976706681,False
1979-08-01,2500.001942424833,0.0,2500.001942424833,False
1979-09-01,2500.0019087375326,0.0,2500.0019087375326,False
1979-10-01,2500.0018756344684,0.0,2500.0018756344684,False
1979-11-01,2500.0018431055078,0.0,2500.0018431055078,False
1979-12-01,2500.001811140695,0.0,2500.001811140695,False
1980-01-01,2500.0017797302453,0.0,2500.0017797302453,False
1980-02-01,2500.001748864544,0.0,2500.001748864544,False
1980-03-01,2500.001718534145,0.0,2500.001718534145,False
1980-04-01,2500.0016887297634,0.0,2500.0016887297634,False
1980-05-01,2500.001659442277,0.0,2500.001659442277,False
1980-06-01,2500.001630662721,0.0,2500.001630662721,False
1980-07-01,2500.001602382286,0.0,2500.001602382286,False
1980-08-01,2500.0015745923165,0.0,2500.0015745923165,False
1980-09-01,2500.001547284307,0.0,2500.001547284307,False
1980-10-01,2500.0015204498973,0.0,2500.0015204498973,False
1980-11-01,2500.0014940808746,0.0,2500.0014940808746,False
1980-12-01,2500.001468169168,0.0,2500.001468169168,False
1981-01-01,2500.0014427068463,0.0,2500.0014427068463,False
1981-02-01,2500.0014176861155,0.0,2500.0014176861155,False
1981-03-01,2500.0013930993164,0.0,2500.0013930993164,False
1981-04-01,2500.0013689389248,0.0,2500.0013689389248,False
1981-05-01,2500.0013451975447,0.0,2500.0013451975447,False
1981-06-01,2500.001321867909,0.0,2500.001321867909,False
1981-07-01,2500.001298942878,0.0,2500.001298942878,False
1981-08-01,2500.001276415433,0.0,2500.001276415433,False
1981-09-01,2500.00125427868,0.0,2500.00125427868,False
1981-10-01,2500.001232525843,0.0,2500.001232525843,False
1981-11-01,2500.0012111502633,0.0,2500.0012111502633,False
1981-12-01,2500.001190145398,0.0,2500.001190145398,False
1982-01-01,2500.0011695048192,0.0,2500.0011695048192,False
1982-02-01,2500.0011492222075,0.0,2500.0011492222075,False
1982-03-01,2500.001129291356,0.0,2500.001129291356,False
1982-04-01,2500.0011097061633,0.0,2500.0011097061633,False
1982-05-01,2500.0010904606347,0.0,2500.0010904606347,False
1982-06-01,2500.0010715488793,0.0,2500.0010715488793,False
1982-07-01,2500.0010529651095,0.0,2500.0010529651095,False
1982-08-01,2500.0010347036364,0.0,2500.0010347036364,False
1982-09-01,2500.00101675887,0.0,2500.00101675887,False
1982-10-01,2500.000999125318,0.0,2500.000999125318,False
1982-11-01,2500.0009817975833,0.0,2500.0009817975833,False
1982-12-01,2500.000964770362,0.0,2500.000964770362,False
1983-01-01,2500.0009480384424,0.0,2500.0009480384424,False
1983-02-01,2500.0009315967027,0.0,2500.0009315967027,False
1983-03-01,2500.000915440111,0.0,2500.000915440111,False
1983-04-01,2500.0008995637213,0.0,2500.0008995637213,False
1983-05-01,2500.0008839626744,0.0,2500.0008839626744,False
1983-06-01,2500.000868632195,0.0,2500.000868632195,False
1983-07-01,2500.000853567591,0.0,2500.000853567591,False
1983-08-01,2500.000838764251,0.0,2500.000838764251,False
1983-09-01,2500.000824217644,0.0,2500.000824217644,False
1983-10-01,2500.000809923317,0.0,2500.000809923317,False
1983-11-01,2500.0007958768956,0.0,2500.0007958768956,False
1983-12-01,2500.00078207408,0.0,2500.00078207408,False
1984-01-01,2500.0007685106452,0.0,2500.0007685106452,False
1984-02-01,2500.00075518244,0.0,2500.00075518244,False
1984-03-01,2500.0007420853844,0.0,2500.0007420853844,False
1984-04-01,2500.0007292154705,0.0,2500.0007292154705,False
1984-05-01,2500.0007165687575,0.0,2500.0007165687575,False
1984-06-01,2500.000704141376,0.0,2500.000704141376,False
1984-07-01,2500.0006919295206,0.0,2500.0006919295206,False
1984-08-01,2500.0006799294542,0.0,2500.0006799294542,False
1984-09-01,2500.000668137505,0.0,2500.000668137505,False
1984-10-01,2500.0006565500616,0.0,2500.0006565500616,False
1984-11-01,2500.0006451635786,0.0,2500.0006451635786,False
1984-12-01,2500.00063397457,0.0,2500.00063397457,False
1985-01-01,2500.000622979611,0.0,2500.000622979611,False
1985-02-01,2500.0006121753368,0.0,2500.0006121753368,False
1985-03-01,2500.000601558441,0.0,2500.000601558441,False
1985-04-01,2500.000591125672,0.0,2500.000591125672,False
1985-05-01,2500.000580873838,0.0,2500.000580873838,False
1985-06-01,2500.0005707998,0.0,2500.0005707998,False
1985-07-01,2500.0005609004756,0.0,2500.0005609004756,False
1985-08-01,2500.0005511728336,0.0,2500.0005511728336,False
1985-09-01,2500.0005416138983,0.0,2500.0005416138983,False
1985-10-01,2500.0005322207417,0.0,2500.0005322207417,False
1985-11-01,2500.00052299049,0.0,2500.00052299049,False
1985-12-01,2500.000513920318,0.0,2500.000513920318,False
1986-01-01,2500.0005050074487,0.0,2500.0005050074487,False
1986-02-01,2500.0004962491544,0.0,2500.0004962491544,False
1986-03-01,2500.0004876427547,0.0,2500.0004876427547,False
1986-04-01,2500.0004791856154,0.0,2500.0004791856154,False
1986-05-01,2500.0004708751467,0.0,2500.0004708751467,False
1986-06-01,2500.0004627088056,0.0,2500.0004627088056,False
1986-07-01,2500.0004546840933,0.0,2500.0004546840933,False
1986-08-01,2500.000446798552,0.0,2500.000446798552,False
1986-09-01,2500.0004390497693,0.0,2500.0004390497693,False
1986-10-01,2500.0004314353732,0.0,2500.0004314353732,False
1986-11-01,2500.000423953032,0.0,2500.000423953032,False
1986-12-01,2500.000416600457,0.0,2500.000416600457,False
1987-01-01,2500.000409375397,0.0,2500.000409375397,False
1987-02-01,2500.00040227564,0.0,2500.00040227564,False
1987-03-01,2500.000395299014,0.0,2500.000395299014,False
1987-04-01,2500.000388443383,0.0,2500.000388443383,False
1987-05-01,2500.0003817066477,0.0,2500.0003817066477,False
1987-06-01,2500.000375086748,0.0,2500.000375086748,False
1987-07-01,2500.000368581656,0.0,2500.000368581656,False
1987-08-01,2500.000362189381,0.0,2500.000362189381,False
1987-09-01,2500.0003559079673,0.0,2500.0003559079673,False
1987-10-01,2500.000349735491,0.0,2500.000349735491,False
1987-11-01,2500.0003436700636,0.0,2500.0003436700636,False
1987-12-01,2500.0003377098283,0.0,2500.0003377098283,False
1988-01-01,2500.0003318529607,0.0,2500.0003318529607,False
1988-02-01,2500.0003260976678,0.0,2500.0003260976678,False
1988-03-01,2500.000320442189,0.0,2500.000320442189,False
1988-04-01,2500.000314884792,0.0,2500.000314884792,False
1988-05-01,2500.000309423777,0.0,2500.000309423777,False
1988-06-01,2500.0003040574716,0.0,2500.0003040574716,False
1988-07-01,2500.000298784233,0.0,2500.000298784233,False
1988-08-01,2500.000293602448,0.0,2500.000293602448,False
1988-09-01,2500.0002885105305,0.0,2500.0002885105305,False
1988-10-01,2500.0002835069213,0.0,2500.0002835069213,False
1988-11-01,2500.0002785900892,0.0,2500.0002785900892,False
1988-12-01,2500.0002737585296,0.0,2500.0002737585296,False
1989-01-01,2500.000269010763,0.0,2500.000269010763,False
1989-02-01,2500.0002643453363,0.0,2500.0002643453363,False
1989-03-01,2500.0002597608222,0.0,2500.0002597608222,False
1989-04-01,2500.0002552558167,0.0,2500.0002552558167,False
1989-05-01,2500.0002508289404,0.0,2500.0002508289404,False
1989-06-01,2500.00024647884,0.0,2500.00024647884,False
1989-07-01,2500.000242204182,0.0,2500.000242204182,False
1989-08-01,2500.0002380036594,0.0,2500.0002380036594,False
