,price_per_sqm_smoothed
1936-02-01,6529.829384596811
1936-03-01,6562.220523156071
1936-04-01,6571.839832009047
1936-05-01,6551.908660877664
1936-06-01,6561.235822739939
1936-07-01,6509.1637251503735
1936-08-01,6475.912023747943
1936-09-01,6481.597597933938
1936-10-01,6458.749291912342
1936-11-01,6436.447265879142
1936-12-01,6417.396892236997
1937-01-01,6456.683244078266
1937-02-01,6487.058546299457
1937-03-01,6519.449684858717
1937-04-01,6529.068993711693
1937-05-01,6509.13782258031
1937-06-01,6518.464984442585
1937-07-01,6466.392886853019
1937-08-01,6433.141185450589
1937-09-01,6438.826759636584
1937-10-01,6415.978453614988
1937-11-01,6393.676427581788
1937-12-01,6374.626053939643
1938-01-01,6413.912405780912
1938-02-01,6444.287708002103
1938-03-01,6476.678846561363
1938-04-01,6486.298155414339
1938-05-01,6466.366984282956
1938-06-01,6475.694146145231
1938-07-01,6423.622048555665
1938-08-01,6390.370347153234
1938-09-01,6396.05592133923
1938-10-01,6373.207615317634
1938-11-01,6350.9055892844335
1938-12-01,6331.855215642288
1939-01-01,6371.141567483558
1939-02-01,6401.516869704748
1939-03-01,6433.9080082640085
1939-04-01,6443.527317116985
1939-05-01,6423.596145985602
1939-06-01,6432.9233078478765
1939-07-01,6380.851210258311
1939-08-01,6347.59950885588
1939-09-01,6353.285083041876
1939-10-01,6330.43677702028
1939-11-01,6308.134750987079
1939-12-01,6289.084377344934
1940-01-01,6328.370729186204
1940-02-01,6358.746031407394
1940-03-01,6391.137169966654
1940-04-01,6400.7564788196305
1940-05-01,6380.825307688247
1940-06-01,6390.152469550522
1940-07-01,6338.080371960957
1940-08-01,6304.828670558526
1940-09-01,6310.514244744521
1940-10-01,6287.665938722926
1940-11-01,6265.363912689725
1940-12-01,6246.31353904758
1941-01-01,6285.59989088885
1941-02-01,6315.97519311004
1941-03-01,6348.3663316693
1941-04-01,6357.985640522276
1941-05-01,6338.054469390893
1941-06-01,6347.381631253168
1941-07-01,6295.309533663602
